=== Page 4 ===
款,項,"金
額",,,
６ . 農 林 水 産 業 費,現 計,"1,010,89 7",nan,nan,,,
"７ . 商
工
費",補 正,nan,nan,nan,,,
"７ . 商
工
費",現 計,"5,525,32 9",nan,nan,,,
"８ . 土
木
費",補 正,nan,nan,nan,,,
"８ . 土
木
費",現 計,"13,904,32 4",nan,nan,,,
"９ . 消
防
費",補 正,nan,nan,nan,,,
"９ . 消
防
費",現 計,"6,082,68 2",nan,nan,,,
"10 . 教
育
費",補 正,nan,nan,nan,,,
"10 . 教
育
費",現 計,"12,402,93 9",nan,nan,,,
11 . 災 害 復 旧 費,補 正,nan,nan,nan,,,
11 . 災 害 復 旧 費,現 計,"164,72 0",nan,nan,,,
"12 . 公
債
費",補 正,nan,nan,nan,,,
"12 . 公
債
費",現 計,"7,606,64 2",nan,nan,,,
"13 . 諸
支
出
金",補 正,nan,nan,nan,,,
"13 . 諸
支
出
金",現 計,10 0,nan,nan,,,
"14 . 予
備
費",補 正,nan,nan,nan,,,
"14 . 予
備
費",現 計,"100,00 0",nan,nan,,,
"歳
出
合
計",補 正,nan,nan,nan,,,
"歳
出
合
計",現 計,"110,800,00 0",nan,nan,,,

=== Page 17 ===
款,本年度予算額,前年度予算額,"比
較",,,
1 市税,"千円
49,286,300","千円
48,352,400","千円
933,900",,,
2 地方譲与税,"685,000","680,000","5,000",,,
3 利子割交付金,"100,000","22,000","78,000",,,
4 配当割交付金,"380,000","350,000","30,000",,,
5 株式等譲渡所得割交付金,"700,000","500,000","200,000",,,
6 法人事業税交付金,"770,000","700,000","70,000",,,
7 地方消費税交付金,"7,800,000","7,000,000","800,000",,,
8 ゴルフ場利用税交付金,"60,000","60,000",0,,,
9 環境性能割交付金,"2,000","110,000","△108,000",,,
10 地方特例交付金,"458,000","312,000","146,000",,,
11 地方交付税,"200,000","200,000",0,,,
12 交通安全対策特別交付金,"40,000","40,000",0,,,
13 分担金及び負担金,"1,673,555","898,210","775,345",,,
14 使用料及び手数料,"1,274,952","1,305,446","△30,494",,,
15 国庫支出金,"19,346,840","18,486,567","860,273",,,
16 県支出金,"8,912,921","8,760,799","152,122",,,
17 財産収入,"375,139","404,061","△28,922",,,
18 寄附金,"6,019,301","5,015,125","1,004,176",,,
19 繰入金,"2,140,017","1,666,920","473,097",,,
20 繰越金,"1,000,000","1,000,000",0,,,
21 諸収入,"1,973,375","3,283,372","△1,309,997",,,
22 市債,"7,602,600","5,353,100","2,249,500",,,
歳 入 合 計,"110,800,000","104,500,000","6,300,000",,,

=== Page 18 ===
款,本年度予算額,前年度予算額,"比
較","本 年
度
予
算 額 の
財
源 内 訳","本 年
度
予
算 額 の
財
源 内 訳","本 年
度
予
算 額 の
財
源 内 訳","本 年
度
予
算 額 の
財
源 内 訳"
